WT,PS,S
2.42280285,2.351543943,2.137767221
1.959619952,2.600950119,2.921615202
2.244655582,2.850356295,3.064133017
1.888361045,2.885985748,3.456057007
2.137767221,3.171021378,3.598574822
1.781472684,3.313539192,3.491686461
2.102137767,3.527315914,3.705463183
1.74584323,3.456057007,4.026128266
1.104513064,3.634204276,4.168646081
0.926365796,3.741092637,4.239904988
1.532066508,3.313539192,4.45368171
1.995249406,4.06175772,4.204275534
2.672209026,4.06175772,4.418052257
2.672209026,4.06175772,4.774346793
2.70783848,4.06175772,4.703087886
2.885985748,4.168646081,4.881235154
2.921615202,4.45368171,5.13064133
2.957244656,5.13064133,4.988123515
3.420427553,4.988123515,5.700712589
3.277909739,4.988123515,5.522565321
3.206650831,4.916864608,5.344418052
3.206650831,4.73871734,5.451306413
3.028503563,4.988123515,5.593824228
2.565320665,5.059382423,5.80760095
2.494061758,5.059382423,6.270783848
2.066508314,4.524940618,6.128266033
1.496437055,5.166270784,5.950118765
0.926365796,5.308788599,5.80760095
1.104513064,5.308788599,5.914489311
1.638954869,5.237529691,6.021377672
2.137767221,5.273159145,6.199524941
2.529691211,5.380047506,6.733966746
2.600950119,5.522565321,6.698337292
1.74584323,5.593824228,6.520190024
2.137767221,5.629453682,6.377672209
1.817102138,5.771971496,6.48456057
2.244655582,5.593824228,6.662707838
1.959619952,5.771971496,6.662707838
2.494061758,5.80760095,6.733966746
2.921615202,5.522565321,7.410926366
2.921615202,5.558194774,7.197149644
2.743467933,6.48456057,6.983372922
2.70783848,6.520190024,7.197149644
3.277909739,6.448931116,7.232779097
3.313539192,6.306413302,7.446555819
3.206650831,6.199524941,7.589073634
3.171021378,6.413301663,8.087885986
4.133016627,6.057007126,8.194774347
4.097387173,6.448931116,8.372921615
3.919239905,6.7695962,8.194774347
3.77672209,6.48456057,8.266033254
3.741092637,6.627078385,8.479809976
3.847980998,6.733966746,8.764845606
4.06175772,6.698337292,9.406175772
4.097387173,6.698337292,9.58432304
4.667458432,7.090261283,9.548693587
4.560570071,7.339667458,10.04750594
4.489311164,7.197149644,10.51068884
4.382422803,7.874109264,10.97387173
4.239904988,7.980997625,11.00950119
4.418052257,7.945368171,11.25890736
4.524940618,8.159144893,11.36579572
4.596199525,8.444180523,11.36579572
5.522565321,8.337292162,11.79334917
5.41567696,8.800475059,12.11401425
5.13064133,8.764845606,
5.380047506,8.836104513,
5.201900238,9.513064133,
5.380047506,10.08313539,
4.809976247,10.11876485,
5.451306413,12.04275534,
5.237529691,12.32779097,
5.522565321,3.705463183,
5.950118765,,
6.09263658,,
6.448931116,,
6.698337292,,
6.413301663,,
6.235154394,,
6.448931116,,
6.698337292,,
6.876484561,,
7.019002375,,
7.410926366,,
7.83847981,,
8.551068884,,
8.729216152,,
8.693586698,,
8.978622328,,
9.121140143,,
9.58432304,,
9.513064133,,
10.93824228,,
12.47030879,,
13.75296912,,