genotype,Rin,Gin,rheobase,f-I gain ,Vth
WT,0.954793723,1.047346642,4.188481675,30.40468646,-55.42787286
WT,1.585269491,0.630807573,4.712041885,48.27927676,-54.64547677
WT,1.899051791,0.526578582,5.445026178,23.39985554,-53.56968215
WT,2.173602639,0.460065691,5.863874346,21.22594249,-54.25427873
WT,2.252689365,0.443913846,5.811518325,19.6570592,-54.84107579
WT,2.290395919,0.436605738,5.916230366,19.41298911,-53.66748166
WT,2.448292115,0.408447993,6.492146597,15.90688445,-53.47188264
WT,2.683264944,0.372680306,6.910994764,15.06380384,-51.80929095
WT,2.800404791,0.357091233,6.701570681,14.82478214,-52.29828851
WT,3.54711933,0.281918906,6.910994764,15.91426286,-52.39608802
WT,3.508996895,0.284981728,7.277486911,15.79581994,-52.39608802
WT,3.510175225,0.284886063,7.486910995,14.22713081,-52.200489
WT,3.353873239,0.29816273,7.643979058,13.62093605,-50.92909535
WT,3.079461018,0.324732151,8.062827225,12.77261289,-50.4400978
WT,3.041338583,0.328802589,8.429319372,12.89163832,-49.95110024
WT,2.608960852,0.383294368,8.586387435,12.88794911,-49.5599022
WT,2.13776755,0.467777706,7.958115183,12.0411793,-49.36430318
WT,2.492444826,0.401212492,8.534031414,13.73064138,-48.87530562
WT,2.296356881,0.435472382,7.643979058,12.88406574,-50.4400978
WT,2.808722413,0.356033759,7.905759162,11.92312472,-49.5599022
WT,2.770669291,0.360923623,7.748691099,10.95888283,-48.97310513
WT,3.1998586,0.312513809,8.219895288,11.32333753,-48.48410758
WT,3.358794499,0.297725866,8.795811518,11.68837473,-47.89731051
WT,3.43857436,0.290818198,9.267015707,12.17418488,-46.9193154
WT,3.440515138,0.290654149,9.371727749,12.65999503,-47.40831296
WT,3.632374958,0.275301975,9.371727749,10.24026438,-45.84352078
WT,3.671259843,0.272386059,10.10471204,9.754648399,-48.09290954
WT,4.0637823,0.246076174,10,9.269809093,-46.52811736
WT,4.259454364,0.234771854,9.581151832,10.11230719,-46.82151589
WT,4.771819896,0.209563651,10.36649215,10.7138419,-47.40831296
WT,4.733766774,0.211248261,10.62827225,8.900500179,-47.89731051
WT,4.498586004,0.222292071,11.62303665,8.056837069,-45.55012225
WT,4.105716979,0.243562819,11.46596859,7.454914022,-45.45232274
WT,4.696614728,0.212919317,11.41361257,7.457632384,-45.74572127
WT,4.303537762,0.232366963,11.41361257,8.184988428,-43.39853301
WT,5.326050793,0.187756377,11.46596859,8.429058515,-43.98533007
WT,5.324941777,0.187795481,11.83246073,9.034476599,-44.08312958
WT,5.638446823,0.177353805,12.30366492,6.495138015,-44.27872861
WT,5.912928358,0.16912094,12.40837696,6.13048915,-44.1809291
WT,6.505351004,0.153719607,12.72251309,5.765840285,-44.27872861
WT,6.427789176,0.155574486,12.46073298,6.488147941,-43.3007335
WT,7.096040812,0.140923654,13.19371728,5.518469329,-41.83374083
WT,7.372879006,0.135632227,13.40314136,4.91693462,-40.85574572
WT,5.760369302,0.173599981,13.66492147,4.315594079,-34.88997555
WT,8.513155706,0.117465254,13.56020942,4.317341597,
WT,8.435524565,0.118546273,13.45549738,4.681990462,
WT,10.67920317,0.093639945,14.2408377,5.28837939,
WT,12.3333703,0.081080838,15.7591623,5.532837815,
WT,12.76519352,0.078338021,18.11518325,,
SOD127X,2.662609515,0.375571406,1.413612565,24.78913276,-42.12713936
SOD127X,2.545816236,0.392801329,4.293193717,22.13096292,-43.98533007
SOD127X,2.507416547,0.398816862,4.293193717,20.44208335,-44.86552567
SOD127X,2.272790285,0.439987801,5.392670157,20.44344253,-43.98533007
SOD127X,1.21021404,0.826300115,5.968586387,18.99047797,-42.90953545
SOD127X,1.644393923,0.608126791,6.439790576,14.64265188,-43.78973105
SOD127X,2.352431518,0.425092077,6.858638743,14.76614319,-47.11491443
SOD127X,2.471858711,0.404553867,7.696335079,12.95920903,-47.799511
SOD127X,2.51240712,0.398024664,7.853403141,11.86992249,-48.19070905
SOD127X,2.631557059,0.380003161,8.115183246,11.74643118,-47.50611247
SOD127X,2.908395253,0.343832221,8.795811518,11.38197648,-50.24449878
SOD127X,3.612343351,0.276828613,9.162303665,11.98312285,-50.92909535
SOD127X,4.162415438,0.240245121,9.057591623,12.34272333,-51.80929095
SOD127X,4.754006321,0.2103489,9.42408377,9.689407708,-52.59168704
SOD127X,4.125540645,0.242392473,9.895287958,9.088261336,-52.98288509
SOD127X,5.737218587,0.174300488,9.738219895,10.0569691,-52.68948655
SOD127X,5.541615837,0.180452783,9.947643979,8.61099461,-51.61369193
SOD127X,5.779153266,0.173035729,9.947643979,8.488474144,-54.74327628
SOD127X,6.684457137,0.14960078,9.685863874,7.398993429,-55.72127139
SOD127X,6.486289786,0.154171342,10,7.759176414,-56.30806846
SOD127X,6.485111456,0.154199354,10.89005236,7.635490936,-56.50366748
SOD127X,,,11.30890052,8.599344486,-57.09046455
SOD127X,,,11.9895288,6.064665952,-55.52567237
SOD127X,,,12.56544503,5.825255914,-55.8190709
SOD127X,,,12.61780105,5.585845877,-57.97066015
SOD127X,,,,6.313007751,
SOD127X,,,,6.436304891,