Firing pattern,SOD1,Gin,rheobase,Vth,RMP,AP amp,AP dur
delayed,+/+,29.9,1200,-24,-66,72.1,0.94
delayed,+/+,37,600,-34,-62,70.8,2.31
delayed,+/+,70.9,1000,-36,-60,105.4,2.05
delayed,+/+,87,1400,-45,-60,81.8,2.2
delayed,+/+,86.2,1900,-42,-61,92.7,2.18
delayed,+/+,43.3,1200,-37,-66,76.5,1.96
delayed,+/+,26.7,800,-31,-64,78.7,2.5
delayed,+/+,51.3,1100,-42,-64,70,2.46
delayed,+/+,99,2000,-29,-56,82.8,1.44
delayed,+/+,35.8,800,-36,-63,80.8,1.62
delayed,+/+,40.8,1400,-35,-68,98.8,0.85
delayed,+/+,35.2,700,-28,-60.5,85.6,0.99
delayed,+/+,69.9,2000,-27,-66,66.4,1.72
delayed,+/+,93.5,1400,-26,-68,99.4,0.7
delayed,+/+,70.9,1900,-31.8,-67.5,94.3,0.66
delayed,+/+,76.9,2000,-30,-65.7,94.9,0.75
delayed,+/+,54.1,1200,-30,-66,69.7,1.22
delayed,+/+,19.2,600,-20.6,-69.3,86.8,0.8
delayed,+/+,69.9,1000,-41.7,-67.5,91.6,0.83
delayed,+/+,74.6,2400,-28.4,-63.5,101.1,1.02
delayed,+/+,78.1,2800,-28.2,-65.2,95.4,1.4
delayed,+/+,26.3,700,-38,-70,96.9,1.07
delayed,+/+,18.1,600,-38.2,-70.3,108,1.32
delayed,+/+,90.1,n/a,n/a,-65,93.4,1.19
delayed,+/+,45.2,1900,-29.3,-62,104,1.49
delayed,+/+,37.9,2200,-41.1,-60.2,121.1,1.22
delayed,+/+,30.3,1300,-20.4,-65.3,101.7,1.26
delayed,+/+,73,1400,-35.5,-61.6,75.6,1.61
delayed,+/+,43.7,1000,-37.8,-70.3,88.4,1.53
delayed,+/+,32.8,300,-25,-58.6,,
delayed,+/+,40.7,400,-47,-61,,
delayed,+/+,10,500,-28,-67,,
delayed,+/+,19.3,750,-43.8,-63.6,,
delayed,+/+,35,1500,-19,-61.6,,
delayed,+/+,40,650,-41,-60.9,,
delayed,+/+,27.3,700,-35.1,-60.3,,
delayed,+/+,25.8,1000,-36.9,-68,,
delayed,+/+,24.1,600,-23.9,-69.3,,
delayed,+/+,26.7,n/a,-25.1,-62.3,,
delayed,+/+,27.5,350,-43.9,-65.5,,
delayed,+/+,22.2,500,-36.7,-62.6,,
delayed,+/+,45,800,-33,-59.9,,
delayed,+/+,39.4,900,-30,-65,,
delayed,+/+,61.3,1100,-40,-61.6,,
delayed,+/+,41.5,400,-45.8,-63,,
delayed,+/+,69.4,n/a,-27.5,-65,,
delayed,+/+,47.2,n/a,n/a,-58,,
delayed,+/+,78.7,n/a,n/a,-65,,
delayed,+/+,57.8,1600,-16.8,-64.9,,
delayed,+/+,61.3,1100,-32.2,-60.3,,
delayed,+/+,52.6,1600,-40,-68.2,,
delayed,+/+,47.4,900,-32.6,-65,,
delayed,+/+,52.9,2600,n/a,-65,,
delayed,+/+,82,1400,-38.5,-60.9,,
delayed,+/+,36.2,1400,-35.7,-60.2,,
delayed,+/+,24.2,n/a,-27,-59.4,,
delayed,+/+,87,1900,-32.4,-65.7,,
delayed,+/+,22.9,600,-35.9,-68.7,,
delayed,+/+,25.6,1100,-22.5,-69,,
delayed,+/+,92.6,1000,-41.7,-61.4,,
delayed,+/+,151.5,n/a,-30.7,-60.8,,
delayed,+/+,123,1600,-28,-67,,
delayed,+/+,17.3,400,-21.5,-61.4,,
delayed,+/-,90.9,600,-50,-66,92,1.71
delayed,+/-,33.3,1200,-33,-59,76.7,1.22
delayed,+/-,43.7,900,-11,-64,79.3,1.55
delayed,+/-,76.9,1200,-35,-63.3,83.7,1.64
delayed,+/-,42.6,1050,-31.8,-59,110.1,1.01
delayed,+/-,48.5,600,-31.4,-60.1,111.1,0.83
delayed,+/-,25.2,1000,-26.6,-66,85.3,1.64
delayed,+/-,22.1,900,-30,-65.2,92.3,1.58
delayed,+/-,55.2,900,-28.6,-67.3,89.5,0.58
delayed,+/-,85.5,2600,-34.5,-70,78.1,1.31
delayed,+/-,52.9,1100,-38,-63,89.9,1.25
delayed,+/-,49.8,1400,-43,-65,74.6,2.21
delayed,+/-,49.3,1600,-14.4,-64.6,72.2,1.62
delayed,+/-,29.9,2200,-11.6,-63,98.6,1.1
delayed,+/-,86.2,1400,-46.3,-60,96.2,0.74
delayed,+/-,25.8,900,-27.5,-68,94,0.79
delayed,+/-,49.8,1100,-37.6,-67.2,78.7,0.94
delayed,+/-,81.3,1200,-37.2,-61,81.3,2.04
delayed,+/-,60.2,1000,-36.1,-64.8,71.2,1
delayed,+/-,21.6,500,-37.2,-68.4,,
delayed,+/-,21.8,500,-34.9,-65.8,,
delayed,+/-,26.8,500,-30,-66,,
delayed,+/-,76.9,1600,-24.7,-62.4,,
delayed,+/-,90.9,1500,-31.4,-66,,
delayed,+/-,83.3,1100,-38,-70,,
delayed,+/-,69.9,800,-28,-67,,
delayed,+/-,28.1,300,-41,-63,,
delayed,+/-,23.4,400,-10,-64,,
delayed,+/-,23.5,500,-37,-68,,
delayed,+/-,153.8,n/a,-39.6,-66.5,,
delayed,+/-,41,1100,-21,-68,,
immediate,+/+,39.4,1200,-42,-67,74.8,1.46
immediate,+/+,25.8,200,-45.5,-60,80.4,2.34
immediate,+/+,21.6,300,-42.5,-64,87.2,
immediate,+/+,8,150,-37,-67.4,76.4,2.87
immediate,+/+,20.3,400,-34,-65,71.5,2.3
immediate,+/+,10.4,350,-52,-67,99.6,2.09
immediate,+/+,26.3,700,-49,-66,82.8,1.53
immediate,+/+,5.7,250,-46,-68,65.9,1.95
immediate,+/+,7.1,150,-52,-60,103.7,1.32
immediate,+/+,69.4,500,-60,-69,92.2,1.31
immediate,+/+,29.5,n/a,n/a,-67,87.9,1.51
immediate,+/+,6.9,150,-39,-63,72.9,1.95
immediate,+/+,42.9,900,-56,-67,77,1.43
immediate,+/+,24.3,400,-47,-59,80,1.82
immediate,+/+,12,350,-40,-69,103.1,2.09
immediate,+/+,34.1,700,-40,-65,75.4,
immediate,+/+,51.5,1200,-38,-60,96.2,1.64
immediate,+/+,98,1000,-41,-62.1,90.6,1.29
immediate,+/+,53.5,600,-48,-63,73.9,1.13
immediate,+/+,73.5,1600,-45,-69,94.9,1.2
immediate,+/+,13.3,150,-51,-68,81.3,1.62
immediate,+/+,29.2,1400,-44,-71,,
immediate,+/+,11,300,-26,-61,,
immediate,+/+,33.8,500,-49,-65,,
immediate,+/+,21.5,600,-51,-66,,
immediate,+/+,89.3,n/a,-38,-65.1,,
immediate,+/+,17.6,50,-53,-62,,
immediate,+/+,60.2,1100,-45.5,-62,,
immediate,+/+,20,500,-44.2,-65,,
immediate,+/+,39.4,700,-38.8,-61,,
immediate,+/+,35.5,800,-43,-66,,
immediate,+/-,45.5,500,-40,-60,97.2,2.16
immediate,+/-,42.4,100,-55,-62.1,105.8,1.69
immediate,+/-,6.3,250,-48,-63,81.3,1.73
immediate,+/-,11.2,100,-41,-61,75.8,2.24
immediate,+/-,28.1,500,-50,-66,86.5,1.18
immediate,+/-,44.4,200,-45,-62,73.9,3.12
immediate,+/-,25.7,150,-41,-61.2,110,0.9
immediate,+/-,17.5,250,-47,-62.5,73,1.63
immediate,+/-,42.6,n/a,-47,-63.6,62,1.69
immediate,+/-,10.1,150,-59.6,-70,61.3,2.48
immediate,+/-,42.6,250,-56.2,-62.6,79.7,1.13
immediate,+/-,31.9,550,-47.6,-65,82.1,1.35
immediate,+/-,48.8,n/a,-54,-65,62,2.03
immediate,+/-,51.5,500,-44,-65,,
immediate,+/-,12.9,150,n/a,-67.5,,
immediate,+/-,43.7,300,-55,-64.6,,
immediate,+/-,20.1,400,-52,-63,,
immediate,+/-,62.5,200,-51.4,-60,,