id,mouseType,PhysioType3,GinPeak,Ion,RMP_CCRamp,ascSlope,DeltaV
431,B6SJL NT,FF,0.41,9.47,-67.5,,29.9
440,B6SJL NT,FR,0.14,0.96,-65,13.19,6.9
454,B6SJL SOD1-G93A,FR,0.5,8.85,-62.6,4.41,18.6
455,B6SJL SOD1-G93A,FR,0.49,,-50,,
456,B6SJL SOD1-G93A,FR,0.25,,-50,,
460,B6SJL SOD1-G93A,FR,,10.61,-65.9,9.39,17.7
468,B6SJL SOD1-G93A,FR,0.46,6.06,-71.6,15.71,21
470,B6SJL SOD1-G93A,FR,0.28,,-57.4,,
471,B6SJL SOD1-G93A,FR,0.45,5.11,-67.3,12.31,14.4
479,B6SJL SOD1-G93A,FR,0.36,5.88,-61.3,11.99,18.62
489,B6SJL SOD1-G93A,FR,0.41,8.51,-66.9,18.14,25.23
490,B6SJL SOD1-G93A,FR,0.3,6.79,-77.2,12.44,21.55
503,B6SJL NT,FR,,,,,
504,B6SJL NT,FF,0.79,,,,
506,B6SJL NT,FR,0.48,6.74,-71.6,21.79,3.6
508,B6SJL NT,FR,,,,,
509,B6SJL NT,FR,0.45,7.52,-79.1,14.93,13.1
511,B6SJL NT,FR,0.43,,-55.4,,
512,B6SJL NT,FF,0.79,,,,
513,B6SJL NT,FF,0.79,,,,
517,B6SJL NT,FR,0.38,7.95,-79.2,13.77,27.9
521,B6SJL NT,FR,0.27,4.87,-82.1,9.67,22.9
527,B6SJL NT,FR,0.46,10.9,-79.3,5.45,22.9
531,B6SJL NT,FR,0.36,6.89,-74,6.98,22.9
533,B6SJL NT,FR,0.35,5.57,-68.2,6.96,16.2
540,B6SJL NT,FR,0.79,,,,
543,B6SJL NT,FR,,,,,
547,B6SJL NT,FR,0.55,12.71,-77.3,,24.7
549,B6SJL NT,FR,0.21,2.33,-64.9,14.48,10.1
563,B6SJL SOD1-G93A,FR,,,-79,,
590,B6SJL NT,FR,0.31,,,,
591,B6SJL NT,FR,,,,,
593,B6SJL NT,FR,0.46,,,,
650,B6SJL NT,FR,,12,-80,,
651,B6SJL NT,FR,0.32,7.45,-57.95,14.19,20.45
661,B6SJL SOD1-G93A,FR,0.66,,-70.71,,
672,B6SJL NT,FR,0.43,13.96,-80,,
748,B6SJL SOD1-G93A,S,0.17,,,,
782,B6SJL NT,FR,,18.21,-64.88,,
784,B6SJL NT,S,,,,,
786,B6SJL NT,S,,4.49,-67.34,10.69,16.85
801,B6SJL NT,FR,0.76,,,,
806,B6SJL NT,FR,0.6,9.63,-69,,11.91
817,B6SJL NT,FR,0.18,2.61,-79.24,17.87,17.62
845,B6SJL NT,FR,0.2,,,,
847,B6SJL NT,FR,,,,,
881,B6SJL NT,FR,0.27,5.85,-70.11,10.58,19.84
887,B6SJL SOD1-G93A,FF,0.69,,-57.77,,
888,B6SJL SOD1-G93A,FR,0.26,3.52,-68.62,,14.81
899,B6SJL NT,FR,0.62,11.77,-54.34,7.79,19.78
901,B6SJL NT,FR,,14.76,-68.66,6.17,
906,B6SJL NT,FR,0.39,4.19,-80.2,21.8,
907,B6SJL NT,FR,,,,,
915,B6SJL NT,FR,,16.52,-69.8,,18.3
917,B6SJL NT,FR,0.68,12.58,-67.25,,19.95
928,B6SJL NT,FR,,1.86,-50.26,8.76,7.05
932,B6SJL NT,FR,,,,,
934,B6SJL NT,FR,0.25,3.3,-72.72,17.19,15.46
936,B6SJL NT,FF,0.5,10.82,-72.77,13.98,
937,B6SJL NT,FR,0.28,,,,
938,B6SJL NT,FR,,4.12,-70.13,24.96,16.21
969,B6SJL NT,FR,0.57,11.65,-73.57,11.7,24.13
970,B6SJL NT,FR,0.28,5.66,-70.9,17.3,23.3
972,B6SJL NT,FR,0.21,1.54,-50.8,14.05,10.93
976,B6SJL NT,FR,,,,,
977,B6SJL NT,FF,0.82,,-83.1,,
978,B6SJL NT,FR,0.14,0.6,-62.56,,5.91
980,B6SJL NT,FF,0.61,,-73.17,,
1013,B6SJL NT,FF,0.9,16.85,-62.39,,
1020,B6SJL NT,FR,0.63,,-58.31,,
1021,B6SJL NT,FR,0.17,,,,
1025,B6SJL NT,FR,0.68,,-64.55,,
1026,B6SJL NT,FR,0.12,1.37,-63.01,16.75,14.71
1027,B6SJL NT,FR,,,,,
1029,B6SJL NT,FR,0.44,7.7,-81.8,13.48,23.8
1034,B6SJL NT,FR,,,,,
1038,B6SJL NT,FR,0.22,2.13,-70.74,2.21,13.74
1040,B6SJL SOD1-G93A,FR,0.56,,-51.98,,
1045,B6SJL SOD1-G93A,FR,0.27,,,,
1053,B6SJL NT,FR,,,,,
1055,B6SJL NT,FR,0.19,1.93,-80,16.4,17.9
1056,B6SJL NT,FR,,,,,
1059,B6SJL NT,FR,0.35,3.49,-64.37,13.33,9.07
1063,B6SJL NT,FR,,10.26,-75.95,2.47,13.15
1076,B6SJL NT,FR,,,,,
1088,B6SJL SOD1-G93A,FR,,,,,
1091,B6SJL SOD1-G93A,FR,0.39,2.19,-70.84,12.7,
1092,B6SJL SOD1-G93A,S,,2.66,-72.29,8.62,15.69
1097,B6SJL SOD1-G93A,FR,0.74,,-63.73,,
1101,B6SJL NT,FR,,,,,
1102,B6SJL NT,FR,0.28,5.63,-86.62,11.18,35.53
1104,B6SJL NT,FR,,,,,
1107,B6SJL NT,FF,,,,,
1108,B6SJL NT,FR,0.54,9.56,-81.8,,15.66
1123,B6SJL SOD1-G93A,FR,,,,,
1124,B6SJL SOD1-G93A,FR,0.34,4.91,-62.22,17.87,18.84
1126,B6SJL NT,FR,,,,,
1130,B6SJL NT,FR,0.25,4.91,-85.52,21.84,23.53
1136,B6SJL SOD1-G93A,S,,,,,
1137,B6SJL SOD1-G93A,FR,0.42,,,,
1138,B6SJL SOD1-G93A,FF,0.53,10.38,-84.45,14.31,28.37
1141,B6SJL SOD1-G93A,FR,0.4,,,,
1144,B6SJL SOD1-G93A,FF,0.43,,-54.45,,
1149,B6SJL NT,S,0.21,,,,
1154,B6SJL NT,FR,0.28,,,,
1159,B6SJL NT,FR,0.28,5.79,-82.52,19.44,31.09
1166,B6SJL NT,S,,,,,
1174,B6SJL NT,FF,,,,,
1177,B6SJL SOD1-G93A,FR,0.36,5.17,-67.43,,18.25
1178,B6SJL SOD1-G93A,FF,0.82,,-61.8,,
1179,B6SJL SOD1-G93A,FR,,,,,
1183,B6SJL SOD1-G93A,FR,0.23,2.77,-66.18,29.98,16.14
1215,B6SJL NT,FR,,,,,
1217,B6SJL NT,S,,,,,
1250,B6SJL NT,FR,,,,,
1285,B6SJL NT,S,0.2,2.14,-70.62,10.78,
1303,B6SJL SOD1-G93A,S,,,,,
1306,B6SJL SOD1-G93A,FR,,,,,
1309,B6SJL SOD1-G93A,S,0.23,3.09,-73.94,16,23.19
1310,B6SJL SOD1-G93A,FF,0.35,5.48,-72.1,13.1,18.57
1331,B6SJL NT,FF,0.76,14.15,-80.31,,
1331b,B6SJL NT,FR,0.53,10.07,-81.65,,
1361,B6SJL SOD1-G93A,FR,0.22,2.53,-72.92,13.7,22.07
1369,B6SJL SOD1-G93A,S,0.13,,,,
1465,B6SJL NT,S,0.18,0.77,-62.28,19,5.45
1474,B6SJL SOD1-G93A,FR,0.37,2.76,-52.4,6.56,6.04
1478,B6SJL SOD1-G93A,FR,0.25,,,,
1480,B6SJL SOD1-G93A,FF,0.79,,-64.12,,
1482,B6SJL SOD1-G93A,FR,0.32,3.56,-72.78,13.46,11.96
1485,B6SJL SOD1-G93A,FR,,,,,
1486,B6SJL SOD1-G93A,FR,0.4,7.01,-72.14,13.58,16.06
1489,B6SJL SOD1-G93A,FF,0.65,12.02,-81.3,11.17,22.95
1512,B6SJL NT,S,,,,,
1514,B6SJL NT,FR,0.39,8.34,-81.21,13.83,16.94
1515,B6SJL NT,FR,,,,,
1517,B6SJL NT,FR,,,,,
1518,B6SJL NT,FR,0.38,6.75,-64.55,9.5,20.85
1537,B6SJL NT,FR,0.22,4.46,-81,16.78,20.93
1538,B6SJL NT,FR,0.25,2.95,-53.62,18.89,14.27
1544,B6SJL NT,FF,0.67,,,,
1546,B6SJL NT,FR,0.5,10.65,-72.12,8.1,19.14
1558,B6SJL SOD1-G93A,FR,0.42,7.71,-75.31,12.31,12.08
1564,B6SJL NT,FR,0.25,4.52,-66.18,10.24,20.09
1570,B6SJL NT,FR,,,,,
1594,B6SJL SOD1-G93A,FR,0.18,3.99,-72.23,27.44,
1594b,B6SJL SOD1-G93A,FR,,7.15,-75.28,16.93,
1606,B6SJL SOD1-G93A,FR,0.21,3.42,-60.27,10.93,23.01
1621,B6SJL NT,FR,0.18,2.76,-63.3,14.58,9.94
1792,B6SJL SOD1-G93A,FR,0.55,8,-57.25,15.04,
1846,B6SJL SOD1-G93A,FR,0.76,,-59.93,,
1849,B6SJL SOD1-G93A,S,0.21,3.08,-62.82,10.97,15.89
2052,B6SJL SOD1-G93A,FR,0.17,1.02,-57.58,14.26,13.73
2070,B6SJL SOD1-G93A,FR,0.36,5.56,-66.33,17.1,24.38
2071,B6SJL SOD1-G93A,FR,0.25,2.88,-55.71,13.36,19.56
2107,B6SJL SOD1-G93A,FR,0.54,,-54.25,,
2119,B6SJL NT,FR,0.38,7.44,-61.26,12.58,23.83
2120,B6SJL NT,FR,0.35,6.94,-67.23,,25.29
2136,B6SJL SOD1-G93A,FR,0.43,7.67,-76.82,23.24,21.79
2138,B6SJL SOD1-G93A,FR,0.44,9.86,-59.71,13.63,
2168,B6SJL NT,FF,0.72,,,,
2177,B6SJL NT,FR,,,,,
2178,B6SJL NT,FR,,,,,
2205,B6SJL NT,FR,0.26,1.31,-51.77,,3.7
2206,B6SJL NT,FR,0.29,1.92,-51.12,36.93,9.9
3344,B6SJL SOD1-G93A,S,0.2,3.06,-71.28,11.86,21.9
C235,B6SJL SOD1-G93A,FR,0.3,3.87,-77.09,14.83,15.03
C236,B6SJL SOD1-G93A,S,0.29,4.32,-75.76,23.44,15.26
C241,B6SJL SOD1-G93A,FR,0.41,7.75,-52.13,16.11,20.53
C243,B6SJL SOD1-G93A,FF,0.49,9.75,-79.91,25.5,24.14
C246,B6SJL SOD1-G93A,FF,0.47,5.81,-62.7,,13.45
3350,B6SJL SOD1-G93A,FR,0.36,6.58,-74.56,,16.25
3351,B6SJL SOD1-G93A,FR,0.45,11.3,-74.34,7.72,20.69
3355,B6SJL SOD1-G93A,FR,0.24,4.54,-78.08,44.49,17.16
3356,B6SJL SOD1-G93A,FR,0.31,3.01,-55.75,,12.57
3364,B6SJL SOD1-G93A,FR,0.12,0.35,-66.49,43.7,3.11
3366,B6SJL SOD1-G93A,FF,0.58,,-58,,21.59
3367,B6SJL SOD1-G93A,FR,0.24,3.02,-68,29.51,12.93
3369,B6SJL SOD1-G93A,FF,0.31,,-57.66,,
3391,B6SJL SOD1-G93A,FR,0.31,4.4,-63.22,19.96,17.7
3408-09,B6SJL SOD1-G93A,FR,0.25,4.37,-71.38,23.64,29.63
3411,B6SJL SOD1-G93A,FR,0.44,8.63,-70.85,,28.87
3412,B6SJL SOD1-G93A,FR,0.18,2.01,-61.33,14.55,17.53
3440-41,B6SJL SOD1-G93A,FR,0.24,4.09,-66.05,15.83,16.82
3443,B6SJL SOD1-G93A,FR,0.53,,-70.99,,
3450,B6SJL SOD1-G93A,FR,0.16,,,,
3452,B6SJL SOD1-G93A,FF,0.56,10.92,-71,6.03,17.63
3455,B6SJL SOD1-G93A,FR,0.17,2.32,-61,41.43,16.26
3459,B6SJL SOD1-G93A,FF,0.45,,-65,,
3461,B6SJL SOD1-G93A,FR,0.34,,-57,,
3466,B6SJL SOD1-G93A,S,0.31,4.49,-74.6,34.12,19.76
3468,B6SJL SOD1-G93A,S,0.08,0.27,-50.27,13.55,8.95
3469,B6SJL SOD1-G93A,FR,0.69,,-73.87,,
3472,B6SJL SOD1-G93A,FF,0.56,12.43,-74.77,12.58,28.02
3478,B6SJL SOD1-G93A,FF,0.83,,-62.52,,
3479,B6SJL SOD1-G93A,FR,0.27,3.23,-69.46,15,16.58
3481,B6SJL SOD1-G93A,S,0.21,2.01,-65.53,16.86,10.45
3483,B6SJL SOD1-G93A,FR,0.33,4.83,-75.64,7.92,17.93
3488,B6SJL SOD1-G93A,FR,0.18,3.35,-74.38,19.66,23.27